conta_sinqia,conta_matera
11230000010000,499920000101010
11230000020006,112300000101001
11230000030001,499920000101010
11230000040007,112300000101002
11230000050002,499920000101010
12110030010003,121100110101001
12110030020009,121100110101002
12110030030004,121100110101002
12110050010009,121100110102001
12110050020004,121100110102002
12110050030000,121100110102002
12110070010004,121100110103001
12110070020000,121100110103002
12110070030005,121100110103002
12110070040000,499920000101010
12110070050006,499920000101010
12110990010006,499920000101010
12120030010000,499920000101010
12120030020006,499920000101010
12120050010006,499920000101010
12120050020001,499920000101010
12120050030007,499920000101010
12120070010001,499920000101010
12120070020007,499920000101010
12120070030002,499920000101010
12120070040008,499920000101010
12120070050003,499920000101010
12210200010005,499920000101010
12210200020000,122100110001001
12210200030006,499920000101010
12210250010009,499920000101010
12210250020004,499920000101010
12210250030000,499920000101010
13110030010009,499920000101010
13110030020004,499920000101010
13110030030000,131100110101001
13110030040005,131100110101002
13110050010004,499920000101010
13110050020000,499920000101010
13110050030005,499920000101010
13110050040000,499920000101010
13110050050006,499920000101010
13110050060001,499920000101010
13110100010002,499920000101010
13110100020008,499920000101010
13110100030003,499920000101010
13110100040009,499920000101010
13110100050004,499920000101010
13110100060000,499920000101010
13110100070005,499920000101010
13110100080000,499920000101010
13110100090006,499920000101010
13110100100001,499920000101010
13110250010008,499920000101010
13110250020003,499920000101010
13110250030009,499920000101010
13110250040004,499920000101010
13110250050000,499920000101010
13110250060005,499920000101010
13110250070000,499920000101010
13110250080006,499920000101010
13110350010000,499920000101010
13110350020005,499920000101010
13110350030000,499920000101010
13110350040006,499920000101010
13110350050001,499920000101010
13110450010001,499920000101010
13110450020007,499920000101010
13110450030002,499920000101010
13110450040008,499920000101010
13110450050003,499920000101010
13110990010001,499920000101010
13110990020007,499920000101010
13110990030002,499920000101010
13110990040008,499920000101010
13110990050003,499920000101010
13110990060009,499920000101010
13110990070004,499920000101010
13110990080000,499920000101010
13110990090005,499920000101010
13110990100000,499920000101010
13210030010005,499920000101010
13210030020000,499920000101010
13210030030006,499920000101010
13210030040001,499920000101010
13210050010000,499920000101010
13210050020006,499920000101010
13210050030001,499920000101010
13210050040007,499920000101010
13210050050002,499920000101010
13210050060008,499920000101010
13210070010006,499920000101010
13210070020001,499920000101010
13210070030007,499920000101010
13210070040002,499920000101010
13210070050008,499920000101010
13210070060003,499920000101010
13210070070009,499920000101010
13210070080004,499920000101010
13210070090000,499920000101010
13210070100005,499920000101010
13315100010006,133150000101001
13315100020001,133150000101001
13315100030007,499920000101010
13315100040002,499920000101010
13315100050008,499920000101010
13315100060003,499920000101010
13330400010005,499920000101010
13330400020000,499920000101010
13330400030006,499920000101010
13330400040001,499920000101010
13330400050007,499920000101010
13330400060002,499920000101010
13330400070008,499920000101010
13330400080003,499920000101010
13335400010006,499920000101010
13335400020001,499920000101010
13335400030007,499920000101010
13335400040002,499920000101010
13335400050008,499920000101010
13335400060003,499920000101010
13385130010005,499920000101010
13385130020000,499920000101010
13410020010005,134100110101001
13410020020000,134100110101001
13410020030006,499920000101010
13410040010000,499920000101010
13410040020006,499920000101010
15240000010000,499920000101010
16120101001000,499920000101010
16120101002007,499920000101010
16120101003003,499920000101010
16120101031007,499920000101010
16120101032003,499920000101010
16120101033000,499920000101010
16120101034006,499920000101010
16120101061003,499920000101010
16120101062000,499920000101010
16120102001004,499920000101010
16120102002000,499920000101010
16120102003007,499920000101010
16120102031000,499920000101010
16120102032007,499920000101010
16120102033003,499920000101010
16120102034000,499920000101010
16120102061007,499920000101010
16120102062003,499920000101010
16120400010001,162100110101001
16120400020007,162100110101003
16120400030002,162100110101002
16120400040008,499920000101010
16120400050003,499920000101010
16120400060009,499920000101010
16120400070004,499920000101010
16120400080000,499920000101010
16120400090005,499920000101010
16120402001000,499920000101010
16120402002006,499920000101010
16120402003002,499920000101010
16120402031006,499920000101010
16120402032002,499920000101010
16120402033009,499920000101010
16120402034005,499920000101010
16120402061002,499920000101010
16120402062009,499920000101010
16120403001003,499920000101010
16120403002000,499920000101010
16120403003006,499920000101010
16120403031000,499920000101010
16120403032006,499920000101010
16120403033002,499920000101010
16120403034009,499920000101010
16120403061006,499920000101010
16120403062002,499920000101010
16120600010005,499920000101010
16120600020000,499920000101010
16120600030006,499920000101010
16120600040001,499920000101010
16120600050007,499920000101010
16120600060002,499920000101010
16120600070008,499920000101010
16120600080003,499920000101010
16120600090009,499920000101010
16120602001003,499920000101010
16120602002000,499920000101010
16120602003006,499920000101010
16120602031000,499920000101010
16120602032006,499920000101010
16120602033002,499920000101010
16120602034009,499920000101010
16120602061006,499920000101010
16120602062002,499920000101010
16120603001007,499920000101010
16120603002003,499920000101010
16120603003000,499920000101010
16120603031003,499920000101010
16120603032000,499920000101010
16120603033006,499920000101010
16120603034002,499920000101010
16120603061000,499920000101010
16120603062006,499920000101010
16210000010003,162100110201001
16210000020009,162100110201003
16210000030004,162100110201002
16210000040000,162100110201001
16210000050005,162100110201003
16210000060000,162100110201005
16210000070006,162100110201002
16210000080001,499920000101010
16210000090007,499920000101010
16210000100002,162100110101001
16210000110008,162100110101003
16210000120003,162100110101002
16210000130009,162100110101001
16210000140004,162100110101003
16210000150000,162100110101004
16210000160005,162100110101002
16210000170000,499920000101010
16210000180006,499920000101010
16210000190001,162100110501001
16210000200007,162100110501003
16210000210002,162100110301002
16210000220008,162100110501001
16210000230003,162100110501003
16210000240009,162100110501004
16210000250004,162100110501005
16210000260000,499920000101010
16210000270005,499920000101010
16210002301005,499920000101010
16210002302001,499920000101010
16210002303008,499920000101010
16210002331001,499920000101010
16210002332008,499920000101010
16210002333004,499920000101010
16210002334000,499920000101010
16210002361008,499920000101010
16210002362004,499920000101010
16210002400003,162100110601001
16210002400020,162100110601003
16210002400038,162100110601002
16210002400046,499920000101010
16210002400054,162100110601003
16210002400062,162100110601004
16210002400070,499920000101010
16210002400089,499920000101010
16210002400097,499920000101010
16920000010005,499920000101011
16920000020000,499920000101011
16920000030006,499920000101011
16920000040001,499920000101011
16920000050007,499920000101011
16920000060002,499920000101011
16920000070008,499920000101011
16920000080003,499920000101011
16920000090009,499920000101011
16920000100004,499920000101011
16920000110000,499920000101011
16920000120005,499920000101011
16920000130000,499920000101011
16920000140006,499920000101011
16920000150001,499920000101011
16920000160007,499920000101011
16920000170002,499920000101011
16920000180008,499920000101011
16920003001007,499920000101011
16920003002003,499920000101011
16920003003000,499920000101011
16920003004006,499920000101011
16920003005002,499920000101011
16920003006009,499920000101011
16920003007005,499920000101011
16920003008001,499920000101011
16920003009008,499920000101011
16920004001000,499920000101011
16920004002007,499920000101011
16920004003003,499920000101011
16920004004000,499920000101011
16920004005006,499920000101011
16920004006002,499920000101011
16920004007009,499920000101011
16920004008005,499920000101011
16920004009001,499920000101011
16920005001004,499920000101011
16920005002000,499920000101011
16920005003007,499920000101011
16920005004003,499920000101011
16920005005000,499920000101011
16920005006006,499920000101011
16920005007002,499920000101011
16920005008009,499920000101011
16920005009005,499920000101011
16920006001008,499920000101011
16920006002004,499920000101011
16920006003000,499920000101011
16920006004007,499920000101011
16920006005003,499920000101011
16920006006000,499920000101011
16920006007006,499920000101011
16920006008002,499920000101011
16920006009009,499920000101011
16920007001001,499920000101011
16920007002008,499920000101011
16920007003004,499920000101011
16920007004000,499920000101011
16920007005007,499920000101011
16920007006003,499920000101011
16920007007000,499920000101011
16920007008006,499920000101011
16920007009002,499920000101011
16920008001005,499920000101011
16920008002001,499920000101011
16920008003008,499920000101011
16920008004004,499920000101011
16920008005000,499920000101011
16920008006007,499920000101011
16920008007003,499920000101011
16920008008000,499920000101011
16920008009006,499920000101011
16930000010002,499920000101011
16930000020008,499920000101011
16930000030003,499920000101011
16930000040009,499920000101011
16930000050004,499920000101011
16930000060000,499920000101011
16930000070005,499920000101011
16930000080000,499920000101011
16930000090006,499920000101011
16930000100001,499920000101011
16930000110007,499920000101011
16930000120002,499920000101011
16930000130008,499920000101011
16930000140003,499920000101011
16930000150009,499920000101011
16930000160004,499920000101011
16930000170000,499920000101011
16930000180005,499920000101011
16930000190000,499920000101011
16930000200006,499920000101011
16930000210001,499920000101011
16930000220007,499920000101011
16930000230002,499920000101011
16930000240008,499920000101011
16930000250003,499920000101011
16930000260009,499920000101011
16930000270004,499920000101011
16930002301004,499920000101011
16930002302000,499920000101011
16930002303007,499920000101011
16930002304003,499920000101011
16930002305000,499920000101011
16930002306006,499920000101011
16930002307002,499920000101011
16930002308009,499920000101011
16930002309005,499920000101011
17110000010002,499920000101010
17110000020008,499920000101010
17110000030003,499920000101010
17110000040009,499920000101010
17110000050004,499920000101010
17110000060000,499920000101010
17110000070005,499920000101010
17110000080000,499920000101010
17110000090006,499920000101010
17110000100001,499920000101010
17110000110007,499920000101010
17110000120002,499920000101010
17110000130008,499920000101010
17110000140003,499920000101010
17110000150009,499920000101010
17110000160004,499920000101010
17110000170000,499920000101010
17110000180005,499920000101010
17110000190000,499920000101010
17110000200006,499920000101010
17120000010000,499920000101010
17120000020005,499920000101010
17120000030000,499920000101010
17120000040006,499920000101010
17120000050001,499920000101010
17120000060007,499920000101010
17120000070002,499920000101010
17120000080008,499920000101010
17120000090003,499920000101010
17120000100009,499920000101010
17195000010001,499920000101010
17195000020007,499920000101010
17195000030002,499920000101010
17195000040008,499920000101010
17195000050003,499920000101010
17195000060009,499920000101010
17195000070004,499920000101010
17195000080000,499920000101010
17197000010008,499920000101010
17197000020003,499920000101010
17197000030009,499920000101010
17197000040004,499920000101010
17510000010008,499920000101010
17510000020003,499920000101010
17510000030009,499920000101010
17510000040004,499920000101010
17510000050000,499920000101010
17510000060005,499920000101010
17595000010007,499920000101010
17595000020002,499920000101010
17595000030008,499920000101010
17595000040003,499920000101010
17595000050009,499920000101010
17595000060004,499920000101010
17930000010008,499920000101010
17930000020003,499920000101010
17930000030009,499920000101010
17930000040004,499920000101010
17930000050000,499920000101010
17930000060005,499920000101010
17930000070000,499920000101010
17930000080006,499920000101010
17930000090001,499920000101010
17930000100007,499920000101010
17930000110002,499920000101010
17930000120008,499920000101010
17930000130003,499920000101010
17930000140009,499920000101010
17930000150004,499920000101010
17930000160000,499920000101010
17930000170005,499920000101010
17930000180000,499920000101010
17930000190006,499920000101010
17930000200001,499920000101010
17930000210007,499920000101010
17930000220002,499920000101010
17930000230008,499920000101010
17930000240003,499920000101010
17930000250009,499920000101010
17930000260004,499920000101010
17930000270000,499920000101010
18803000010000,188030000100001
18803000020005,188030000100002
18803000030000,188030000100003
18803000040006,188030000100004
18803000050001,499920000101010
18805000010006,499920000101010
18805000020001,499920000101010
18825500010000,188255000101001
18825500020005,188255000101002
18825500030000,188255000101002
18825500040006,188255000102002
18825500050001,499920000101010
18825500060007,188255000102001
18825500070002,499920000101010
18825500080008,188255000102002
18825500090003,499920000101010
18825500100009,499920000101010
18825500110004,499920000101010
18825500120000,499920000101010
18825500130005,499920000101010
18825500140000,499920000101010
18825500150006,499920000101010
18825500160001,499920000101010
18825500170007,499920000101010
18825500180002,499920000101010
18825500190008,499920000101010
18825500200003,499920000101010
18825500210009,499920000101010
18825500220004,499920000101010
18825500230000,499920000101010
18825500240005,499920000101010
18825500250000,499920000101010
18825500260006,499920000101010
18825500270001,499920000101010
18825500280007,499920000101010
18825500290002,499920000101010
18825500300008,499920000101010
18825500310003,499920000101010
18825500320009,499920000101010
18825500330004,499920000101010
18825500340000,499920000101010
18825500350005,499920000101010
18825500360000,499920000101010
18825500370006,499920000101010
18825500380001,499920000101010
18825500390007,499920000101010
18825500400002,499920000101010
18825500410008,499920000101010
18825500420003,499920000101010
18825500430009,499920000101010
18825500440004,499920000101010
18825500450000,499920000101010
18825500460005,499920000101010
18835000010008,162100110301001
18835000020003,162100110301003
18835000030009,162100110301002
18835000040004,162100110301001
18835000050000,162100110301003
18835000060005,162100110301004
18835000070000,162100110301002
18835000080006,499920000101010
18835000090001,499920000101010
18845100010007,188451000100001
18845200010009,188452000100001
18845300010000,499920000101010
18845300020006,499920000101010
18845300030001,499920000101010
18845300040007,499920000101010
18845300050002,499920000101010
18845300060008,499920000101010
18845900010001,499920000101010
18845900020007,188459000100001
18845900030002,499920000101010
18845900040008,188459000100002
18845900050003,499920000101010
18880100010005,181901010101001
18880100020000,181901010101002
18880200010007,188800000100002
18880200020002,188800000100001
18880200030008,188800000200001
18880200040003,499920000101010
18880200050009,499920000101010
18880200060004,499920000101010
18880200070000,499920000101010
18880200080005,499920000101010
18880200090000,499920000101010
18880200100006,499920000101010
18880200110001,499920000101010
18880200120007,499920000101010
18880200130002,499920000101010
18880200140008,499920000101010
18880200150003,499920000101010
18880200160009,499920000101010
18880200170004,499920000101010
18880200180000,499920000101010
18880200190005,499920000101010
18880200200000,499920000101010
18880200210006,499920000101010
18880200220001,499920000101010
18880200230007,499920000101010
18880200240002,499920000101010
18880200250008,499920000101010
18880200260003,499920000101010
18880200270009,499920000101010
18880200280004,499920000101010
18880200290000,499920000101010
18880200300005,499920000101010
18880200310000,499920000101010
18880200320006,499920000101010
18880200330001,499920000101010
18880200340007,499920000101010
18880200350002,499920000101010
18880200360008,499920000101010
18880200370003,499920000101010
18890000010000,499920000101010
18892000010007,188920000101001
18892000020002,499920000101010
18892000030008,499920000101010
18892000040003,499920000101010
18892000050009,188920000101001
18892000060004,188920000101002
18892000070000,188920000101003
18892000080005,499920000101010
18892000090000,499920000101010
18892000100006,188800000200001
18999100010002,499920000101010
18999100020008,499920000101011
18999100030003,499920000101011
18999100040009,499920000101010
18999100050004,499920000101010
18999100060000,499920000101010
18999100070005,499920000101010
18999100080000,499920000101010
18999100090006,499920000101010
18999100100001,499920000101010
18999100110007,499920000101011
18999100120002,499920000101010
18999100130008,499920000101010
18999100140003,499920000101010
18999100150009,499920000101010
18999100160004,499920000101010
18999100170000,499920000101010
18999100180005,499920000101010
19810300010003,198801000101001
19810900010004,499920000101010
19880000000003,198801000101001
19899900010006,499920000101010
19910000010004,199100000001001
19910000020000,499920000101010
19910000030005,199100000001002
19910000040000,199100000001003
19910000050006,499920000101010
19910000060001,499920000101010
19910000070007,199100000001004
21210110010005,499920000101010
21210210010007,499920000101010
21210210020002,499920000101010
21210210030008,499920000101010
21299110010007,499920000101010
22505100010000,499920000101010
22505200010002,499920000101010
22510100010007,499920000101010
22510200010009,499920000101010
22510900010001,499920000101010
22520000010002,499920000101010
22530100010001,225301000001001
22530200010003,225302000001001
22530300010005,225303000001001
22530900010006,225309000001001
22540000010007,499920000101010
22550000010004,499920000101010
22560100010003,499920000101010
22560200010005,499920000101010
22590000010003,499920000101010
22595200010008,499920000101010
22595300010000,225993000001001
22595400010001,499920000101010
22595500010003,499920000101010
22595600010005,499920000101010
22595900010000,499920000101010
22599200010000,499920000101010
22599300010002,225993000001002
22599300020008,225993000001003
22599400010004,499920000101010
22599500010006,499920000101010
22599600010008,499920000101010
22599900010003,225993000001004
23210700010004,499920000101010
23210700020000,499920000101010
23210700030005,499920000101010
23210700040000,499920000101010
23210700050006,499920000101010
23210700060001,499920000101010
23230000010006,499920000101010
23230000020001,499920000101010
23230000030007,499920000101010
23230000040002,499920000101010
23230000050008,499920000101010
23230000060003,499920000101010
23230000070009,499920000101010
23230000080004,499920000101010
23230000090000,499920000101010
23240000010003,499920000101010
23240000020009,499920000101010
23240000030004,499920000101010
23240000040000,499920000101010
23240000050005,499920000101010
23240000060000,499920000101010
23240000070006,499920000101010
23240000080001,499920000101010
23240000090007,499920000101010
23290000010000,499920000101010
23290000020005,499920000101010
23290000030000,499920000101010
23290000040006,499920000101010
23290000050001,499920000101010
23290000060007,499920000101010
23290000070002,499920000101010
23290000080008,499920000101010
23290000090003,499920000101010
23810000010000,499920000101010
23810000020005,499920000101010
23810000030000,499920000101010
23890000010008,499920000101010
23890000020003,499920000101010
23890000030009,499920000101010
25105900010006,499920000101010
25115100010009,251151000001001
25115200010000,499920000101010
25125100010006,499920000101010
25125200010008,499920000101010
25130000010000,499920000101010
25135000010001,499920000101010
25140000010008,499920000101010
25145000010009,499920000101010
25190000010004,499920000101010
25195050010009,499920000101010
25195150010000,499920000101010
25195250010002,499920000101010
25195300010000,499920000101010
25195350010004,499920000101010
25195400010002,499920000101010
25195450010006,499920000101010
25195900010001,499920000101010
25199050010001,499920000101010
25199150010003,251991500001001
25199250010005,499920000101010
25199300010003,499920000101010
25199350010007,499920000101010
25199400010005,499920000101010
25199450010009,499920000101010
25199900010004,499920000101010
25295000010001,499920000101010
30330020010006,304301100100002
30330020020001,304301100100002
30330020030007,304301100100002
30330020040002,304301100100002
30340020010003,304301100100002
30340020020009,304301100100002
30340020030004,304301100100002
30340020040000,304301100100002
30340600010009,304301100100002
30340600020004,304301100100002
30340600030000,304301100100002
30340600040005,304301100100002
30340600050000,304301100100002
30430100010009,304301100100002
30430100020004,304301100100002
30430100030000,304301100100002
30430100040005,304301100100002
30430100050000,304301100100002
30430100060006,304301100100002
30430100070001,304301100100002
30430100080007,304301100100002
30430100090002,304301100100001
30430100100008,304302100100001
30430100110003,304301100100002
30430100120009,304301100100002
30430100130004,304301100100002
30430100140000,304301100100002
30430100150005,304301100100002
30430100160000,304301100100002
30430100170006,304301100100002
30430200010000,304301100100002
30430200020006,304301100100002
30430200030001,304301100100002
30430200040007,304301100100002
30430200050002,304301100100002
30430200060008,304301100100002
30430200070003,304301100100002
30430200080009,304301100100002
30430200090004,304301100100002
30430200100000,304301100100002
30430200110005,304301100100002
30430200120000,304301100100002
30430200130006,304301100100002
30430200140001,304301100100002
30430200150007,304301100100002
30430200160002,304301100100002
30430200170008,304301100100002
30430200180003,304301100100002
30430200190009,304301100100002
30430200200004,304301100100002
30430200210000,304301100100002
30430200220005,304301100100002
30430200230000,304301100100002
30430200240006,304301100100002
30430200250001,304301100100002
30430200260007,304301100100002
30440000010004,304301100100002
30440000010055,304301100100002
30440000020000,304301100100002
30440000030005,304301100100002
30440000040000,304301100100002
30440000050006,304301100100002
30440000060001,304301100100002
30440000070007,304301100100002
30440000080002,304301100100002
30440000090008,304301100100002
30440000100003,304301100100002
30440000110009,304301100100002
30440000120004,304301100100002
30440000130000,304400000100001
30440000140005,304301100100002
30440000150000,304301100100002
30440000160006,304301100100002
30440000170001,304301100100002
30440000180007,304301100100002
30440000190002,304301100100002
30440000200008,304301100100002
30440000210003,304301100100002
30440000220009,304301100100002
30440000230004,304301100100002
30470000010006,304301100100002
30490000010000,304301100100002
30490000020006,304301100100002
30490000030001,304301100100002
30490000040007,304301100100002
30490000050002,304301100100002
30490000060008,304301100100002
30490000070003,304301100100002
30490000080009,304301100100002
30490000090004,304301100100002
30490000100000,304301100100002
30490000110005,304301100100002
30490000120000,304301100100002
30490000130006,304301100100002
30490000140001,304301100100002
30490000150007,304301100100002
30490000160002,304301100100002
30490000170008,304301100100002
30610400010002,304301100100002
30610400020008,304301100100002
30610400030003,304301100100002
30610400040009,304301100100002
30610600010006,306106000100001
30610600020001,304301100100002
30910000010004,309100000100001
30910000020000,304301100100002
30910000030005,309100000100001
30910000040000,309100000100001
30910000050006,309100000100001
30910000060001,304301100100002
30910000070007,304301100100002
30910000080002,304301100100002
30910000090008,304301100100002
30910000100003,304301100100002
30910000110009,304301100100002
30910000120004,304301100100002
30910000130000,304301100100002
30910000140005,304301100100002
30910000150000,304301100100002
30910000160006,304301100100002
30910000170001,304301100100002
30910000180007,304301100100002
30910000190002,304301100100002
30910000200008,304301100100002
30910001005004,304301100100002
30910001006000,304301100100002
30910001007007,304301100100002
